iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.594838, ed: 0.025
iteration 2 of 100, acceptance rate: 0.363787, ed: 0.025
iteration 3 of 100, acceptance rate: 0.484957, ed: 0.0125
iteration 4 of 100, acceptance rate: 0.377119, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.532316, ed: 0.00625
iteration 6 of 100, acceptance rate: 0.445618, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.38779, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.552269, ed: 0.003125
iteration 9 of 100, acceptance rate: 0.476353, ed: 0.003125
iteration 10 of 100, acceptance rate: 0.432589, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.395269, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.560164, ed: 0.0015625
iteration 13 of 100, acceptance rate: 0.498349, ed: 0.0015625
iteration 14 of 100, acceptance rate: 0.46334, ed: 0.0015625
iteration 15 of 100, acceptance rate: 0.427613, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.407994, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.38595, ed: 0.0015625
iteration 18 of 100, acceptance rate: 0.557679, ed: 0.00078125
iteration 19 of 100, acceptance rate: 0.504837, ed: 0.00078125
iteration 20 of 100, acceptance rate: 0.47552, ed: 0.00078125
iteration 21 of 100, acceptance rate: 0.453357, ed: 0.00078125
iteration 22 of 100, acceptance rate: 0.433853, ed: 0.00078125
iteration 23 of 100, acceptance rate: 0.41786, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.400298, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.39061, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.559547, ed: 0.000390625
iteration 27 of 100, acceptance rate: 0.504548, ed: 0.000390625
iteration 28 of 100, acceptance rate: 0.487133, ed: 0.000390625
iteration 29 of 100, acceptance rate: 0.464493, ed: 0.000390625
iteration 30 of 100, acceptance rate: 0.445819, ed: 0.000390625
iteration 31 of 100, acceptance rate: 0.44224, ed: 0.000390625
iteration 32 of 100, acceptance rate: 0.426315, ed: 0.000390625
iteration 33 of 100, acceptance rate: 0.414938, ed: 0.000390625
iteration 34 of 100, acceptance rate: 0.407759, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.393587, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.568573, ed: 0.000195313
iteration 37 of 100, acceptance rate: 0.509342, ed: 0.000195313
iteration 38 of 100, acceptance rate: 0.491665, ed: 0.000195313
iteration 39 of 100, acceptance rate: 0.475281, ed: 0.000195313
iteration 40 of 100, acceptance rate: 0.460951, ed: 0.000195313
iteration 41 of 100, acceptance rate: 0.449367, ed: 0.000195313
iteration 42 of 100, acceptance rate: 0.440831, ed: 0.000195313
iteration 43 of 100, acceptance rate: 0.428939, ed: 0.000195313
iteration 44 of 100, acceptance rate: 0.428744, ed: 0.000195313
iteration 45 of 100, acceptance rate: 0.419694, ed: 0.000195313
iteration 46 of 100, acceptance rate: 0.406482, ed: 0.000195313
iteration 47 of 100, acceptance rate: 0.410845, ed: 0.000195313
iteration 48 of 100, acceptance rate: 0.405587, ed: 0.000195313
iteration 49 of 100, acceptance rate: 0.404335, ed: 0.000195313
iteration 50 of 100, acceptance rate: 0.391716, ed: 0.000195313
iteration 51 of 100, acceptance rate: 0.562869, ed: 9.76563e-05
iteration 52 of 100, acceptance rate: 0.504796, ed: 9.76563e-05
iteration 53 of 100, acceptance rate: 0.477825, ed: 9.76563e-05
iteration 54 of 100, acceptance rate: 0.464546, ed: 9.76563e-05
iteration 55 of 100, acceptance rate: 0.456177, ed: 9.76563e-05
iteration 56 of 100, acceptance rate: 0.44185, ed: 9.76563e-05
iteration 57 of 100, acceptance rate: 0.437265, ed: 9.76563e-05
iteration 58 of 100, acceptance rate: 0.432663, ed: 9.76563e-05
iteration 59 of 100, acceptance rate: 0.428326, ed: 9.76563e-05
iteration 60 of 100, acceptance rate: 0.420949, ed: 9.76563e-05
iteration 61 of 100, acceptance rate: 0.418938, ed: 9.76563e-05
iteration 62 of 100, acceptance rate: 0.413243, ed: 9.76563e-05
iteration 63 of 100, acceptance rate: 0.411976, ed: 9.76563e-05
iteration 64 of 100, acceptance rate: 0.415836, ed: 9.76563e-05
iteration 65 of 100, acceptance rate: 0.402938, ed: 9.76563e-05
iteration 66 of 100, acceptance rate: 0.408679, ed: 9.76563e-05
iteration 67 of 100, acceptance rate: 0.387824, ed: 9.76563e-05
iteration 68 of 100, acceptance rate: 0.562819, ed: 4.88281e-05
iteration 69 of 100, acceptance rate: 0.501112, ed: 4.88281e-05
iteration 70 of 100, acceptance rate: 0.479985, ed: 4.88281e-05
iteration 71 of 100, acceptance rate: 0.463932, ed: 4.88281e-05
iteration 72 of 100, acceptance rate: 0.454594, ed: 4.88281e-05
iteration 73 of 100, acceptance rate: 0.448927, ed: 4.88281e-05
iteration 74 of 100, acceptance rate: 0.441565, ed: 4.88281e-05
