iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.675444, ed: 0.025
iteration 2 of 100, acceptance rate: 0.423055, ed: 0.025
iteration 3 of 100, acceptance rate: 0.276355, ed: 0.025
iteration 4 of 100, acceptance rate: 0.429804, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.337553, ed: 0.0125
iteration 6 of 100, acceptance rate: 0.509899, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.435824, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.381169, ed: 0.00625
iteration 9 of 100, acceptance rate: 0.555395, ed: 0.003125
iteration 10 of 100, acceptance rate: 0.483966, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.447554, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.4091, ed: 0.003125
iteration 13 of 100, acceptance rate: 0.375028, ed: 0.003125
iteration 14 of 100, acceptance rate: 0.564313, ed: 0.0015625
iteration 15 of 100, acceptance rate: 0.50703, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.475926, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.451452, ed: 0.0015625
iteration 18 of 100, acceptance rate: 0.420131, ed: 0.0015625
iteration 19 of 100, acceptance rate: 0.402963, ed: 0.0015625
iteration 20 of 100, acceptance rate: 0.385197, ed: 0.0015625
iteration 21 of 100, acceptance rate: 0.561862, ed: 0.00078125
iteration 22 of 100, acceptance rate: 0.521896, ed: 0.00078125
iteration 23 of 100, acceptance rate: 0.491662, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.467969, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.452366, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.436041, ed: 0.00078125
iteration 27 of 100, acceptance rate: 0.424518, ed: 0.00078125
iteration 28 of 100, acceptance rate: 0.417361, ed: 0.00078125
iteration 29 of 100, acceptance rate: 0.39975, ed: 0.00078125
iteration 30 of 100, acceptance rate: 0.577775, ed: 0.000390625
iteration 31 of 100, acceptance rate: 0.527442, ed: 0.000390625
iteration 32 of 100, acceptance rate: 0.506358, ed: 0.000390625
iteration 33 of 100, acceptance rate: 0.490091, ed: 0.000390625
iteration 34 of 100, acceptance rate: 0.482739, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.472326, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.455669, ed: 0.000390625
iteration 37 of 100, acceptance rate: 0.447582, ed: 0.000390625
iteration 38 of 100, acceptance rate: 0.443666, ed: 0.000390625
iteration 39 of 100, acceptance rate: 0.430234, ed: 0.000390625
iteration 40 of 100, acceptance rate: 0.428347, ed: 0.000390625
iteration 41 of 100, acceptance rate: 0.421887, ed: 0.000390625
iteration 42 of 100, acceptance rate: 0.412397, ed: 0.000390625
iteration 43 of 100, acceptance rate: 0.395009, ed: 0.000390625
iteration 44 of 100, acceptance rate: 0.573992, ed: 0.000195313
iteration 45 of 100, acceptance rate: 0.523297, ed: 0.000195313
iteration 46 of 100, acceptance rate: 0.500821, ed: 0.000195313
iteration 47 of 100, acceptance rate: 0.493063, ed: 0.000195313
iteration 48 of 100, acceptance rate: 0.480518, ed: 0.000195313
iteration 49 of 100, acceptance rate: 0.461909, ed: 0.000195313
iteration 50 of 100, acceptance rate: 0.454597, ed: 0.000195313
iteration 51 of 100, acceptance rate: 0.457017, ed: 0.000195313
iteration 52 of 100, acceptance rate: 0.451086, ed: 0.000195313
iteration 53 of 100, acceptance rate: 0.44493, ed: 0.000195313
iteration 54 of 100, acceptance rate: 0.436323, ed: 0.000195313
iteration 55 of 100, acceptance rate: 0.432174, ed: 0.000195313
iteration 56 of 100, acceptance rate: 0.431288, ed: 0.000195313
iteration 57 of 100, acceptance rate: 0.422616, ed: 0.000195313
iteration 58 of 100, acceptance rate: 0.424196, ed: 0.000195313
iteration 59 of 100, acceptance rate: 0.410811, ed: 0.000195313
iteration 60 of 100, acceptance rate: 0.40735, ed: 0.000195313
iteration 61 of 100, acceptance rate: 0.405633, ed: 0.000195313
iteration 62 of 100, acceptance rate: 0.400623, ed: 0.000195313
iteration 63 of 100, acceptance rate: 0.400121, ed: 0.000195313
iteration 64 of 100, acceptance rate: 0.389178, ed: 0.000195313
iteration 65 of 100, acceptance rate: 0.564898, ed: 9.76563e-05
iteration 66 of 100, acceptance rate: 0.510361, ed: 9.76563e-05
iteration 67 of 100, acceptance rate: 0.484298, ed: 9.76563e-05
iteration 68 of 100, acceptance rate: 0.470299, ed: 9.76563e-05
iteration 69 of 100, acceptance rate: 0.46963, ed: 9.76563e-05
iteration 70 of 100, acceptance rate: 0.461314, ed: 9.76563e-05
iteration 71 of 100, acceptance rate: 0.451805, ed: 9.76563e-05
iteration 72 of 100, acceptance rate: 0.442764, ed: 9.76563e-05
iteration 73 of 100, acceptance rate: 0.438972, ed: 9.76563e-05
iteration 74 of 100, acceptance rate: 0.439102, ed: 9.76563e-05
iteration 75 of 100, acceptance rate: 0.434315, ed: 9.76563e-05
iteration 76 of 100, acceptance rate: 0.431551, ed: 9.76563e-05
iteration 77 of 100, acceptance rate: 0.430987, ed: 9.76563e-05
iteration 78 of 100, acceptance rate: 0.415839, ed: 9.76563e-05
iteration 79 of 100, acceptance rate: 0.42484, ed: 9.76563e-05
iteration 80 of 100, acceptance rate: 0.409503, ed: 9.76563e-05
iteration 81 of 100, acceptance rate: 0.406572, ed: 9.76563e-05
iteration 82 of 100, acceptance rate: 0.415207, ed: 9.76563e-05
iteration 83 of 100, acceptance rate: 0.407489, ed: 9.76563e-05
iteration 84 of 100, acceptance rate: 0.401032, ed: 9.76563e-05
iteration 85 of 100, acceptance rate: 0.403573, ed: 9.76563e-05
iteration 86 of 100, acceptance rate: 0.396877, ed: 9.76563e-05
iteration 87 of 100, acceptance rate: 0.561183, ed: 4.88281e-05
iteration 88 of 100, acceptance rate: 0.504, ed: 4.88281e-05
iteration 89 of 100, acceptance rate: 0.486469, ed: 4.88281e-05
iteration 90 of 100, acceptance rate: 0.468282, ed: 4.88281e-05
iteration 91 of 100, acceptance rate: 0.459306, ed: 4.88281e-05
iteration 92 of 100, acceptance rate: 0.453286, ed: 4.88281e-05
iteration 93 of 100, acceptance rate: 0.45236, ed: 4.88281e-05
iteration 94 of 100, acceptance rate: 0.441866, ed: 4.88281e-05
iteration 95 of 100, acceptance rate: 0.448682, ed: 4.88281e-05
iteration 96 of 100, acceptance rate: 0.439396, ed: 4.88281e-05
iteration 97 of 100, acceptance rate: 0.436264, ed: 4.88281e-05
iteration 98 of 100, acceptance rate: 0.433943, ed: 4.88281e-05
iteration 99 of 100, acceptance rate: 0.432, ed: 4.88281e-05
iteration 100 of 100, acceptance rate: 0.434368, ed: 4.88281e-05
