iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.627897, ed: 0.025
iteration 2 of 100, acceptance rate: 0.373432, ed: 0.025
iteration 3 of 100, acceptance rate: 0.479864, ed: 0.0125
iteration 4 of 100, acceptance rate: 0.38072, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.522547, ed: 0.00625
iteration 6 of 100, acceptance rate: 0.440298, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.378055, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.532728, ed: 0.003125
iteration 9 of 100, acceptance rate: 0.460267, ed: 0.003125
iteration 10 of 100, acceptance rate: 0.412989, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.377476, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.540161, ed: 0.0015625
iteration 13 of 100, acceptance rate: 0.47864, ed: 0.0015625
iteration 14 of 100, acceptance rate: 0.444676, ed: 0.0015625
iteration 15 of 100, acceptance rate: 0.415505, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.392301, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.567408, ed: 0.00078125
iteration 18 of 100, acceptance rate: 0.508149, ed: 0.00078125
iteration 19 of 100, acceptance rate: 0.486122, ed: 0.00078125
iteration 20 of 100, acceptance rate: 0.465893, ed: 0.00078125
iteration 21 of 100, acceptance rate: 0.455216, ed: 0.00078125
iteration 22 of 100, acceptance rate: 0.443108, ed: 0.00078125
iteration 23 of 100, acceptance rate: 0.428524, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.417076, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.407062, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.399114, ed: 0.00078125
iteration 27 of 100, acceptance rate: 0.57836, ed: 0.000390625
iteration 28 of 100, acceptance rate: 0.527067, ed: 0.000390625
iteration 29 of 100, acceptance rate: 0.513029, ed: 0.000390625
iteration 30 of 100, acceptance rate: 0.496232, ed: 0.000390625
iteration 31 of 100, acceptance rate: 0.486423, ed: 0.000390625
iteration 32 of 100, acceptance rate: 0.479923, ed: 0.000390625
iteration 33 of 100, acceptance rate: 0.468654, ed: 0.000390625
iteration 34 of 100, acceptance rate: 0.461221, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.455579, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.449909, ed: 0.000390625
iteration 37 of 100, acceptance rate: 0.444639, ed: 0.000390625
iteration 38 of 100, acceptance rate: 0.44119, ed: 0.000390625
iteration 39 of 100, acceptance rate: 0.434615, ed: 0.000390625
iteration 40 of 100, acceptance rate: 0.431635, ed: 0.000390625
iteration 41 of 100, acceptance rate: 0.425664, ed: 0.000390625
iteration 42 of 100, acceptance rate: 0.419613, ed: 0.000390625
iteration 43 of 100, acceptance rate: 0.418021, ed: 0.000390625
iteration 44 of 100, acceptance rate: 0.411542, ed: 0.000390625
iteration 45 of 100, acceptance rate: 0.405221, ed: 0.000390625
iteration 46 of 100, acceptance rate: 0.39544, ed: 0.000390625
iteration 47 of 100, acceptance rate: 0.580601, ed: 0.000195313
iteration 48 of 100, acceptance rate: 0.536508, ed: 0.000195313
iteration 49 of 100, acceptance rate: 0.523585, ed: 0.000195313
iteration 50 of 100, acceptance rate: 0.514215, ed: 0.000195313
iteration 51 of 100, acceptance rate: 0.506894, ed: 0.000195313
iteration 52 of 100, acceptance rate: 0.503377, ed: 0.000195313
iteration 53 of 100, acceptance rate: 0.494036, ed: 0.000195313
iteration 54 of 100, acceptance rate: 0.492589, ed: 0.000195313
iteration 55 of 100, acceptance rate: 0.488161, ed: 0.000195313
iteration 56 of 100, acceptance rate: 0.480174, ed: 0.000195313
iteration 57 of 100, acceptance rate: 0.476059, ed: 0.000195313
iteration 58 of 100, acceptance rate: 0.476344, ed: 0.000195313
iteration 59 of 100, acceptance rate: 0.468149, ed: 0.000195313
iteration 60 of 100, acceptance rate: 0.46761, ed: 0.000195313
iteration 61 of 100, acceptance rate: 0.462482, ed: 0.000195313
iteration 62 of 100, acceptance rate: 0.462789, ed: 0.000195313
iteration 63 of 100, acceptance rate: 0.453642, ed: 0.000195313
iteration 64 of 100, acceptance rate: 0.452521, ed: 0.000195313
iteration 65 of 100, acceptance rate: 0.452, ed: 0.000195313
iteration 66 of 100, acceptance rate: 0.440509, ed: 0.000195313
iteration 67 of 100, acceptance rate: 0.444815, ed: 0.000195313
iteration 68 of 100, acceptance rate: 0.438284, ed: 0.000195313
iteration 69 of 100, acceptance rate: 0.437832, ed: 0.000195313
iteration 70 of 100, acceptance rate: 0.43399, ed: 0.000195313
iteration 71 of 100, acceptance rate: 0.431749, ed: 0.000195313
iteration 72 of 100, acceptance rate: 0.430993, ed: 0.000195313
iteration 73 of 100, acceptance rate: 0.422894, ed: 0.000195313
iteration 74 of 100, acceptance rate: 0.421677, ed: 0.000195313
iteration 75 of 100, acceptance rate: 0.421029, ed: 0.000195313
iteration 76 of 100, acceptance rate: 0.418352, ed: 0.000195313
iteration 77 of 100, acceptance rate: 0.415279, ed: 0.000195313
iteration 78 of 100, acceptance rate: 0.418975, ed: 0.000195313
iteration 79 of 100, acceptance rate: 0.409835, ed: 0.000195313
iteration 80 of 100, acceptance rate: 0.406405, ed: 0.000195313
iteration 81 of 100, acceptance rate: 0.407561, ed: 0.000195313
iteration 82 of 100, acceptance rate: 0.395651, ed: 0.000195313
iteration 83 of 100, acceptance rate: 0.583981, ed: 9.76563e-05
iteration 84 of 100, acceptance rate: 0.550568, ed: 9.76563e-05
iteration 85 of 100, acceptance rate: 0.53319, ed: 9.76563e-05
iteration 86 of 100, acceptance rate: 0.524288, ed: 9.76563e-05
iteration 87 of 100, acceptance rate: 0.517902, ed: 9.76563e-05
iteration 88 of 100, acceptance rate: 0.515052, ed: 9.76563e-05
iteration 89 of 100, acceptance rate: 0.50839, ed: 9.76563e-05
iteration 90 of 100, acceptance rate: 0.505902, ed: 9.76563e-05
iteration 91 of 100, acceptance rate: 0.502398, ed: 9.76563e-05
iteration 92 of 100, acceptance rate: 0.496716, ed: 9.76563e-05
iteration 93 of 100, acceptance rate: 0.495858, ed: 9.76563e-05
iteration 94 of 100, acceptance rate: 0.493726, ed: 9.76563e-05
iteration 95 of 100, acceptance rate: 0.491052, ed: 9.76563e-05
iteration 96 of 100, acceptance rate: 0.488672, ed: 9.76563e-05
iteration 97 of 100, acceptance rate: 0.486782, ed: 9.76563e-05
iteration 98 of 100, acceptance rate: 0.484325, ed: 9.76563e-05
iteration 99 of 100, acceptance rate: 0.481097, ed: 9.76563e-05
iteration 100 of 100, acceptance rate: 0.477971, ed: 9.76563e-05
