iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.559392, ed: 0.025
iteration 2 of 100, acceptance rate: 0.331264, ed: 0.025
iteration 3 of 100, acceptance rate: 0.445729, ed: 0.0125
iteration 4 of 100, acceptance rate: 0.344887, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.50035, ed: 0.00625
iteration 6 of 100, acceptance rate: 0.408152, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.350529, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.513933, ed: 0.003125
iteration 9 of 100, acceptance rate: 0.428462, ed: 0.003125
iteration 10 of 100, acceptance rate: 0.384174, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.544898, ed: 0.0015625
iteration 12 of 100, acceptance rate: 0.47262, ed: 0.0015625
iteration 13 of 100, acceptance rate: 0.435873, ed: 0.0015625
iteration 14 of 100, acceptance rate: 0.404856, ed: 0.0015625
iteration 15 of 100, acceptance rate: 0.386922, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.548619, ed: 0.00078125
iteration 17 of 100, acceptance rate: 0.483969, ed: 0.00078125
iteration 18 of 100, acceptance rate: 0.448316, ed: 0.00078125
iteration 19 of 100, acceptance rate: 0.424409, ed: 0.00078125
iteration 20 of 100, acceptance rate: 0.414076, ed: 0.00078125
iteration 21 of 100, acceptance rate: 0.387409, ed: 0.00078125
iteration 22 of 100, acceptance rate: 0.557605, ed: 0.000390625
iteration 23 of 100, acceptance rate: 0.494491, ed: 0.000390625
iteration 24 of 100, acceptance rate: 0.465924, ed: 0.000390625
iteration 25 of 100, acceptance rate: 0.452205, ed: 0.000390625
iteration 26 of 100, acceptance rate: 0.436871, ed: 0.000390625
iteration 27 of 100, acceptance rate: 0.417829, ed: 0.000390625
iteration 28 of 100, acceptance rate: 0.414643, ed: 0.000390625
iteration 29 of 100, acceptance rate: 0.402262, ed: 0.000390625
iteration 30 of 100, acceptance rate: 0.393005, ed: 0.000390625
iteration 31 of 100, acceptance rate: 0.554302, ed: 0.000195313
iteration 32 of 100, acceptance rate: 0.492418, ed: 0.000195313
iteration 33 of 100, acceptance rate: 0.460806, ed: 0.000195313
iteration 34 of 100, acceptance rate: 0.450773, ed: 0.000195313
iteration 35 of 100, acceptance rate: 0.432168, ed: 0.000195313
iteration 36 of 100, acceptance rate: 0.426454, ed: 0.000195313
iteration 37 of 100, acceptance rate: 0.419046, ed: 0.000195313
iteration 38 of 100, acceptance rate: 0.410176, ed: 0.000195313
iteration 39 of 100, acceptance rate: 0.399778, ed: 0.000195313
iteration 40 of 100, acceptance rate: 0.561062, ed: 9.76563e-05
iteration 41 of 100, acceptance rate: 0.493428, ed: 9.76563e-05
iteration 42 of 100, acceptance rate: 0.467452, ed: 9.76563e-05
iteration 43 of 100, acceptance rate: 0.45192, ed: 9.76563e-05
iteration 44 of 100, acceptance rate: 0.442904, ed: 9.76563e-05
iteration 45 of 100, acceptance rate: 0.433181, ed: 9.76563e-05
iteration 46 of 100, acceptance rate: 0.430368, ed: 9.76563e-05
iteration 47 of 100, acceptance rate: 0.424149, ed: 9.76563e-05
iteration 48 of 100, acceptance rate: 0.419976, ed: 9.76563e-05
iteration 49 of 100, acceptance rate: 0.416075, ed: 9.76563e-05
iteration 50 of 100, acceptance rate: 0.40682, ed: 9.76563e-05
iteration 51 of 100, acceptance rate: 0.403697, ed: 9.76563e-05
iteration 52 of 100, acceptance rate: 0.406482, ed: 9.76563e-05
iteration 53 of 100, acceptance rate: 0.402157, ed: 9.76563e-05
iteration 54 of 100, acceptance rate: 0.400013, ed: 9.76563e-05
iteration 55 of 100, acceptance rate: 0.389615, ed: 9.76563e-05
iteration 56 of 100, acceptance rate: 0.551334, ed: 4.88281e-05
iteration 57 of 100, acceptance rate: 0.484542, ed: 4.88281e-05
iteration 58 of 100, acceptance rate: 0.4604, ed: 4.88281e-05
iteration 59 of 100, acceptance rate: 0.445299, ed: 4.88281e-05
iteration 60 of 100, acceptance rate: 0.436189, ed: 4.88281e-05
iteration 61 of 100, acceptance rate: 0.428633, ed: 4.88281e-05
iteration 62 of 100, acceptance rate: 0.417587, ed: 4.88281e-05
iteration 63 of 100, acceptance rate: 0.422501, ed: 4.88281e-05
iteration 64 of 100, acceptance rate: 0.412053, ed: 4.88281e-05
iteration 65 of 100, acceptance rate: 0.409206, ed: 4.88281e-05
iteration 66 of 100, acceptance rate: 0.413931, ed: 4.88281e-05
iteration 67 of 100, acceptance rate: 0.402554, ed: 4.88281e-05
iteration 68 of 100, acceptance rate: 0.401776, ed: 4.88281e-05
iteration 69 of 100, acceptance rate: 0.398684, ed: 4.88281e-05
iteration 70 of 100, acceptance rate: 0.549927, ed: 2.44141e-05
iteration 71 of 100, acceptance rate: 0.47719, ed: 2.44141e-05
iteration 72 of 100, acceptance rate: 0.459505, ed: 2.44141e-05
iteration 73 of 100, acceptance rate: 0.438358, ed: 2.44141e-05
iteration 74 of 100, acceptance rate: 0.436843, ed: 2.44141e-05
iteration 75 of 100, acceptance rate: 0.428812, ed: 2.44141e-05
iteration 76 of 100, acceptance rate: 0.421327, ed: 2.44141e-05
iteration 77 of 100, acceptance rate: 0.419765, ed: 2.44141e-05
iteration 78 of 100, acceptance rate: 0.417698, ed: 2.44141e-05
iteration 79 of 100, acceptance rate: 0.420682, ed: 2.44141e-05
iteration 80 of 100, acceptance rate: 0.414563, ed: 2.44141e-05
