iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.728239, ed: 0.025
iteration 2 of 100, acceptance rate: 0.487954, ed: 0.025
iteration 3 of 100, acceptance rate: 0.325385, ed: 0.025
iteration 4 of 100, acceptance rate: 0.488573, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.394245, ed: 0.0125
iteration 6 of 100, acceptance rate: 0.557252, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.492507, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.434235, ed: 0.00625
iteration 9 of 100, acceptance rate: 0.381632, ed: 0.00625
iteration 10 of 100, acceptance rate: 0.564496, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.504713, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.465823, ed: 0.003125
iteration 13 of 100, acceptance rate: 0.42935, ed: 0.003125
iteration 14 of 100, acceptance rate: 0.395668, ed: 0.003125
iteration 15 of 100, acceptance rate: 0.577361, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.527988, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.503287, ed: 0.0015625
iteration 18 of 100, acceptance rate: 0.471365, ed: 0.0015625
iteration 19 of 100, acceptance rate: 0.451363, ed: 0.0015625
iteration 20 of 100, acceptance rate: 0.424131, ed: 0.0015625
iteration 21 of 100, acceptance rate: 0.401222, ed: 0.0015625
iteration 22 of 100, acceptance rate: 0.387327, ed: 0.0015625
iteration 23 of 100, acceptance rate: 0.572206, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.532806, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.503016, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.485333, ed: 0.00078125
iteration 27 of 100, acceptance rate: 0.46546, ed: 0.00078125
iteration 28 of 100, acceptance rate: 0.452135, ed: 0.00078125
iteration 29 of 100, acceptance rate: 0.440631, ed: 0.00078125
iteration 30 of 100, acceptance rate: 0.42702, ed: 0.00078125
iteration 31 of 100, acceptance rate: 0.41255, ed: 0.00078125
iteration 32 of 100, acceptance rate: 0.396497, ed: 0.00078125
iteration 33 of 100, acceptance rate: 0.587609, ed: 0.000390625
iteration 34 of 100, acceptance rate: 0.541651, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.523939, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.509741, ed: 0.000390625
iteration 37 of 100, acceptance rate: 0.487195, ed: 0.000390625
iteration 38 of 100, acceptance rate: 0.483031, ed: 0.000390625
iteration 39 of 100, acceptance rate: 0.468575, ed: 0.000390625
iteration 40 of 100, acceptance rate: 0.457677, ed: 0.000390625
iteration 41 of 100, acceptance rate: 0.453834, ed: 0.000390625
iteration 42 of 100, acceptance rate: 0.440309, ed: 0.000390625
iteration 43 of 100, acceptance rate: 0.425205, ed: 0.000390625
iteration 44 of 100, acceptance rate: 0.424832, ed: 0.000390625
iteration 45 of 100, acceptance rate: 0.413194, ed: 0.000390625
iteration 46 of 100, acceptance rate: 0.408042, ed: 0.000390625
iteration 47 of 100, acceptance rate: 0.393273, ed: 0.000390625
iteration 48 of 100, acceptance rate: 0.591308, ed: 0.000195313
iteration 49 of 100, acceptance rate: 0.548656, ed: 0.000195313
iteration 50 of 100, acceptance rate: 0.535982, ed: 0.000195313
iteration 51 of 100, acceptance rate: 0.515021, ed: 0.000195313
iteration 52 of 100, acceptance rate: 0.505213, ed: 0.000195313
iteration 53 of 100, acceptance rate: 0.499812, ed: 0.000195313
iteration 54 of 100, acceptance rate: 0.48914, ed: 0.000195313
iteration 55 of 100, acceptance rate: 0.479409, ed: 0.000195313
iteration 56 of 100, acceptance rate: 0.471368, ed: 0.000195313
iteration 57 of 100, acceptance rate: 0.459905, ed: 0.000195313
iteration 58 of 100, acceptance rate: 0.461155, ed: 0.000195313
iteration 59 of 100, acceptance rate: 0.450496, ed: 0.000195313
iteration 60 of 100, acceptance rate: 0.435903, ed: 0.000195313
iteration 61 of 100, acceptance rate: 0.440555, ed: 0.000195313
iteration 62 of 100, acceptance rate: 0.427593, ed: 0.000195313
iteration 63 of 100, acceptance rate: 0.42503, ed: 0.000195313
iteration 64 of 100, acceptance rate: 0.427469, ed: 0.000195313
iteration 65 of 100, acceptance rate: 0.416112, ed: 0.000195313
iteration 66 of 100, acceptance rate: 0.408307, ed: 0.000195313
iteration 67 of 100, acceptance rate: 0.405982, ed: 0.000195313
iteration 68 of 100, acceptance rate: 0.405568, ed: 0.000195313
iteration 69 of 100, acceptance rate: 0.397957, ed: 0.000195313
iteration 70 of 100, acceptance rate: 0.589959, ed: 9.76563e-05
iteration 71 of 100, acceptance rate: 0.550884, ed: 9.76563e-05
iteration 72 of 100, acceptance rate: 0.532471, ed: 9.76563e-05
iteration 73 of 100, acceptance rate: 0.519705, ed: 9.76563e-05
iteration 74 of 100, acceptance rate: 0.509294, ed: 9.76563e-05
iteration 75 of 100, acceptance rate: 0.504534, ed: 9.76563e-05
iteration 76 of 100, acceptance rate: 0.487517, ed: 9.76563e-05
iteration 77 of 100, acceptance rate: 0.489561, ed: 9.76563e-05
iteration 78 of 100, acceptance rate: 0.479017, ed: 9.76563e-05
iteration 79 of 100, acceptance rate: 0.475299, ed: 9.76563e-05
iteration 80 of 100, acceptance rate: 0.472516, ed: 9.76563e-05
iteration 81 of 100, acceptance rate: 0.467162, ed: 9.76563e-05
iteration 82 of 100, acceptance rate: 0.456567, ed: 9.76563e-05
iteration 83 of 100, acceptance rate: 0.454963, ed: 9.76563e-05
iteration 84 of 100, acceptance rate: 0.451682, ed: 9.76563e-05
iteration 85 of 100, acceptance rate: 0.443953, ed: 9.76563e-05
iteration 86 of 100, acceptance rate: 0.439608, ed: 9.76563e-05
iteration 87 of 100, acceptance rate: 0.436856, ed: 9.76563e-05
iteration 88 of 100, acceptance rate: 0.431933, ed: 9.76563e-05
iteration 89 of 100, acceptance rate: 0.428525, ed: 9.76563e-05
iteration 90 of 100, acceptance rate: 0.429051, ed: 9.76563e-05
iteration 91 of 100, acceptance rate: 0.425604, ed: 9.76563e-05
iteration 92 of 100, acceptance rate: 0.417199, ed: 9.76563e-05
iteration 93 of 100, acceptance rate: 0.417285, ed: 9.76563e-05
iteration 94 of 100, acceptance rate: 0.410012, ed: 9.76563e-05
iteration 95 of 100, acceptance rate: 0.409362, ed: 9.76563e-05
iteration 96 of 100, acceptance rate: 0.406977, ed: 9.76563e-05
