iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.734884, ed: 0.025
iteration 2 of 100, acceptance rate: 0.485993, ed: 0.025
iteration 3 of 100, acceptance rate: 0.32966, ed: 0.025
iteration 4 of 100, acceptance rate: 0.488786, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.388436, ed: 0.0125
iteration 6 of 100, acceptance rate: 0.556448, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.492415, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.428416, ed: 0.00625
iteration 9 of 100, acceptance rate: 0.38453, ed: 0.00625
iteration 10 of 100, acceptance rate: 0.55987, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.499633, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.458423, ed: 0.003125
iteration 13 of 100, acceptance rate: 0.425744, ed: 0.003125
iteration 14 of 100, acceptance rate: 0.396308, ed: 0.003125
iteration 15 of 100, acceptance rate: 0.575305, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.526745, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.49214, ed: 0.0015625
iteration 18 of 100, acceptance rate: 0.464015, ed: 0.0015625
iteration 19 of 100, acceptance rate: 0.444177, ed: 0.0015625
iteration 20 of 100, acceptance rate: 0.423595, ed: 0.0015625
iteration 21 of 100, acceptance rate: 0.396615, ed: 0.0015625
iteration 22 of 100, acceptance rate: 0.584494, ed: 0.00078125
iteration 23 of 100, acceptance rate: 0.540665, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.51724, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.49368, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.474798, ed: 0.00078125
iteration 27 of 100, acceptance rate: 0.465294, ed: 0.00078125
iteration 28 of 100, acceptance rate: 0.444572, ed: 0.00078125
iteration 29 of 100, acceptance rate: 0.433062, ed: 0.00078125
iteration 30 of 100, acceptance rate: 0.423786, ed: 0.00078125
iteration 31 of 100, acceptance rate: 0.412432, ed: 0.00078125
iteration 32 of 100, acceptance rate: 0.398719, ed: 0.00078125
iteration 33 of 100, acceptance rate: 0.584688, ed: 0.000390625
iteration 34 of 100, acceptance rate: 0.544205, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.524545, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.513108, ed: 0.000390625
iteration 37 of 100, acceptance rate: 0.496674, ed: 0.000390625
iteration 38 of 100, acceptance rate: 0.481198, ed: 0.000390625
iteration 39 of 100, acceptance rate: 0.470038, ed: 0.000390625
iteration 40 of 100, acceptance rate: 0.457303, ed: 0.000390625
iteration 41 of 100, acceptance rate: 0.454788, ed: 0.000390625
iteration 42 of 100, acceptance rate: 0.440507, ed: 0.000390625
iteration 43 of 100, acceptance rate: 0.431385, ed: 0.000390625
iteration 44 of 100, acceptance rate: 0.422042, ed: 0.000390625
iteration 45 of 100, acceptance rate: 0.413953, ed: 0.000390625
iteration 46 of 100, acceptance rate: 0.41013, ed: 0.000390625
iteration 47 of 100, acceptance rate: 0.401356, ed: 0.000390625
