iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.687215, ed: 0.025
iteration 2 of 100, acceptance rate: 0.437559, ed: 0.025
iteration 3 of 100, acceptance rate: 0.286948, ed: 0.025
iteration 4 of 100, acceptance rate: 0.438144, ed: 0.0125
iteration 5 of 100, acceptance rate: 0.343552, ed: 0.0125
iteration 6 of 100, acceptance rate: 0.521156, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.449175, ed: 0.00625
iteration 8 of 100, acceptance rate: 0.393172, ed: 0.00625
iteration 9 of 100, acceptance rate: 0.571786, ed: 0.003125
iteration 10 of 100, acceptance rate: 0.515461, ed: 0.003125
iteration 11 of 100, acceptance rate: 0.477165, ed: 0.003125
iteration 12 of 100, acceptance rate: 0.437568, ed: 0.003125
iteration 13 of 100, acceptance rate: 0.411657, ed: 0.003125
iteration 14 of 100, acceptance rate: 0.377634, ed: 0.003125
iteration 15 of 100, acceptance rate: 0.565038, ed: 0.0015625
iteration 16 of 100, acceptance rate: 0.517506, ed: 0.0015625
iteration 17 of 100, acceptance rate: 0.491315, ed: 0.0015625
iteration 18 of 100, acceptance rate: 0.466058, ed: 0.0015625
iteration 19 of 100, acceptance rate: 0.437454, ed: 0.0015625
iteration 20 of 100, acceptance rate: 0.4164, ed: 0.0015625
iteration 21 of 100, acceptance rate: 0.401314, ed: 0.0015625
iteration 22 of 100, acceptance rate: 0.379112, ed: 0.0015625
iteration 23 of 100, acceptance rate: 0.574255, ed: 0.00078125
iteration 24 of 100, acceptance rate: 0.532756, ed: 0.00078125
iteration 25 of 100, acceptance rate: 0.51081, ed: 0.00078125
iteration 26 of 100, acceptance rate: 0.491092, ed: 0.00078125
iteration 27 of 100, acceptance rate: 0.471625, ed: 0.00078125
iteration 28 of 100, acceptance rate: 0.460561, ed: 0.00078125
iteration 29 of 100, acceptance rate: 0.441673, ed: 0.00078125
iteration 30 of 100, acceptance rate: 0.431985, ed: 0.00078125
iteration 31 of 100, acceptance rate: 0.414662, ed: 0.00078125
iteration 32 of 100, acceptance rate: 0.40291, ed: 0.00078125
iteration 33 of 100, acceptance rate: 0.386355, ed: 0.00078125
iteration 34 of 100, acceptance rate: 0.584526, ed: 0.000390625
iteration 35 of 100, acceptance rate: 0.55376, ed: 0.000390625
iteration 36 of 100, acceptance rate: 0.539132, ed: 0.000390625
iteration 37 of 100, acceptance rate: 0.522767, ed: 0.000390625
iteration 38 of 100, acceptance rate: 0.507535, ed: 0.000390625
iteration 39 of 100, acceptance rate: 0.486826, ed: 0.000390625
iteration 40 of 100, acceptance rate: 0.482609, ed: 0.000390625
iteration 41 of 100, acceptance rate: 0.466274, ed: 0.000390625
iteration 42 of 100, acceptance rate: 0.460056, ed: 0.000390625
iteration 43 of 100, acceptance rate: 0.458584, ed: 0.000390625
iteration 44 of 100, acceptance rate: 0.44493, ed: 0.000390625
iteration 45 of 100, acceptance rate: 0.432413, ed: 0.000390625
iteration 46 of 100, acceptance rate: 0.423802, ed: 0.000390625
iteration 47 of 100, acceptance rate: 0.416481, ed: 0.000390625
